id,f1,f2,f3,f4,f5,f6,f7,f8,f9,label
85,1,0,104,14,0,4,0.04,0,0.0,2
86,1,0,21,3,0,1,0.05,0,0.0,5
87,1,0,149,17,0,5,0.03,0,0.0,3
88,0,0,98,16,0,0,0.0,2,0.02,1
89,0,0,5,1,0,0,0.0,0,0.0,1
90,1,0,325,46,0,3,0.01,1,0.0,1
91,0,0,79,13,0,0,0.0,0,0.0,1
92,0,0,275,50,0,0,0.0,2,0.01,5
93,1,0,87,13,0,5,0.06,0,0.0,5
94,0,0,67,10,0,0,0.0,1,0.01,4
95,0,0,294,45,0,0,0.0,0,0.0,1
96,0,0,16,2,0,0,0.0,0,0.0,5
97,0,0,152,23,0,0,0.0,0,0.0,1
98,1,0,19,2,0,1,0.05,0,0.0,4
99,1,0,58,6,0,1,0.02,2,0.03,1
100,0,0,230,35,0,0,0.0,4,0.02,5
101,1,0,47,6,0,2,0.04,0,0.0,5
102,0,0,109,17,0,0,0.0,2,0.02,4
103,0,0,16,2,0,0,0.0,0,0.0,1
104,1,0,114,17,0,0,0.0,0,0.0,1
105,0,0,21,3,0,0,0.0,0,0.0,5
106,0,0,34,4,0,0,0.0,0,0.0,5
107,1,0,14,2,0,0,0.0,0,0.0,1
108,1,0,23,3,0,1,0.04,0,0.0,1
109,1,0,470,71,0,7,0.01,5,0.01,2
110,1,0,133,19,0,6,0.05,0,0.0,5
111,1,0,91,14,0,5,0.05,1,0.01,5
112,0,0,314,50,3,0,0.0,0,0.0,1
113,0,0,11,2,0,0,0.0,0,0.0,5
114,0,0,20,3,0,0,0.0,0,0.0,1
115,1,0,46,7,0,4,0.09,0,0.0,5
116,1,0,43,6,0,3,0.07,0,0.0,5
117,1,0,108,14,0,4,0.04,1,0.01,3
118,1,0,67,8,0,3,0.04,0,0.0,3
119,1,0,153,21,0,0,0.0,0,0.0,1
120,0,0,128,19,0,0,0.0,1,0.01,5
121,1,0,90,15,0,1,0.01,0,0.0,2
122,1,0,273,37,0,8,0.03,2,0.01,1
123,1,0,13,2,0,1,0.08,0,0.0,5
124,0,0,466,68,0,0,0.0,4,0.01,4
125,1,0,27,5,0,1,0.04,2,0.07,1
126,0,0,36,6,0,0,0.0,0,0.0,1
127,0,0,741,120,0,0,0.0,1,0.0,1
128,1,0,13,3,0,2,0.15,1,0.08,4
129,1,0,82,12,0,2,0.02,1,0.01,5
130,1,0,112,14,0,6,0.05,0,0.0,5
131,1,0,550,77,1,8,0.01,5,0.01,3
132,0,0,167,24,0,0,0.0,0,0.0,5
133,0,0,19,2,0,0,0.0,0,0.0,5
134,1,0,270,39,0,2,0.01,0,0.0,1
135,0,0,359,47,1,0,0.0,5,0.01,1
136,0,0,133,21,0,0,0.0,3,0.02,5
137,1,0,18,3,0,1,0.06,0,0.0,1
138,1,0,86,11,0,5,0.06,0,0.0,4
139,0,0,232,36,0,0,0.0,1,0.0,4
140,1,0,97,12,0,4,0.04,0,0.0,1
141,0,0,35,6,0,0,0.0,0,0.0,5
142,0,0,125,16,0,0,0.0,5,0.04,5
143,0,0,42,8,0,0,0.0,1,0.02,5
144,1,0,810,113,1,9,0.01,3,0.0,1
145,0,0,18,3,0,0,0.0,0,0.0,3
146,0,0,93,11,0,0,0.0,0,0.0,5
147,1,0,44,8,0,4,0.09,0,0.0,5
148,0,0,57,6,0,0,0.0,0,0.0,3
149,0,0,74,11,0,0,0.0,1,0.01,1
150,1,0,56,8,0,5,0.09,0,0.0,5
151,1,0,24,2,0,0,0.0,0,0.0,5
152,1,0,74,9,0,5,0.07,0,0.0,1
153,0,0,137,18,0,0,0.0,0,0.0,5
154,1,0,67,10,0,6,0.09,0,0.0,5
155,0,0,112,16,0,0,0.0,0,0.0,5
156,0,0,2,1,0,0,0.0,0,0.0,5
157,1,0,11,2,0,2,0.18,0,0.0,5
158,0,0,21,3,0,0,0.0,0,0.0,5
159,1,0,30,4,0,2,0.07,0,0.0,5
160,0,0,17,3,0,0,0.0,0,0.0,1
161,1,0,118,14,0,1,0.01,2,0.02,1
162,1,0,46,6,0,4,0.09,0,0.0,2
163,0,0,188,26,0,0,0.0,0,0.0,4
164,1,0,50,7,0,3,0.06,0,0.0,3
165,1,0,482,62,0,1,0.0,0,0.0,1
166,0,0,247,35,0,0,0.0,0,0.0,5
167,0,0,81,15,0,0,0.0,3,0.04,3
168,0,0,99,14,0,0,0.0,0,0.0,5
169,1,0,92,12,0,6,0.07,0,0.0,5
170,1,0,46,6,0,4,0.09,0,0.0,5
171,1,0,32,5,0,0,0.0,0,0.0,1
172,1,0,550,77,1,8,0.01,5,0.01,3
173,1,0,65,9,0,3,0.05,0,0.0,5
174,1,0,148,22,0,9,0.06,0,0.0,5
175,0,0,138,26,0,0,0.0,3,0.02,2
176,0,0,107,17,0,0,0.0,0,0.0,1
177,1,0,129,17,0,0,0.0,0,0.0,5
178,1,0,21,3,0,1,0.05,0,0.0,5
179,0,0,155,28,0,0,0.0,4,0.03,1
180,0,0,23,3,0,0,0.0,0,0.0,1
181,1,0,39,5,0,0,0.0,0,0.0,5
182,1,0,239,35,0,8,0.03,0,0.0,1
183,1,0,242,37,0,7,0.03,4,0.02,1
184,0,0,114,15,0,0,0.0,0,0.0,4
185,0,0,513,81,0,0,0.0,3,0.01,1
186,0,0,215,35,0,0,0.0,0,0.0,1
187,1,0,56,7,0,3,0.05,0,0.0,5
188,1,0,10,1,0,0,0.0,0,0.0,5
189,1,0,110,17,0,0,0.0,0,0.0,1
190,0,0,178,29,0,0,0.0,1,0.01,1
191,1,0,79,10,0,4,0.05,0,0.0,5
192,1,0,95,19,0,3,0.03,3,0.03,1
193,1,0,140,19,1,7,0.05,0,0.0,5
194,1,0,77,12,0,6,0.08,0,0.0,5
195,0,0,39,8,0,0,0.0,3,0.08,1
196,0,0,211,35,0,0,0.0,2,0.01,4
197,1,0,69,9,0,3,0.04,0,0.0,5
198,1,0,59,9,0,3,0.05,1,0.02,5
199,1,0,113,15,0,5,0.04,2,0.02,1
200,1,0,85,11,0,4,0.05,0,0.0,5
201,0,0,135,22,0,0,0.0,0,0.0,5
202,1,0,48,6,0,4,0.08,1,0.02,5
203,1,0,47,7,0,1,0.02,0,0.0,1
204,1,0,276,41,1,8,0.03,0,0.0,1
205,1,0,146,19,0,3,0.02,0,0.0,4
206,1,0,14,2,0,0,0.0,0,0.0,5
207,0,0,219,28,0,0,0.0,2,0.01,5
208,0,0,334,53,3,0,0.0,1,0.0,1
209,1,0,33,7,0,0,0.0,1,0.03,5
210,0,0,14,3,1,0,0.0,0,0.0,3
211,0,0,105,16,0,0,0.0,0,0.0,5
212,1,0,19,3,0,2,0.11,0,0.0,2
213,0,0,29,5,0,0,0.0,0,0.0,1
214,0,0,563,86,0,0,0.0,0,0.0,1
215,1,0,60,10,0,0,0.0,4,0.07,4
216,1,0,42,7,0,2,0.05,0,0.0,5
217,0,0,218,32,0,0,0.0,1,0.0,1
218,0,0,243,36,0,0,0.0,0,0.0,1
219,1,0,59,8,0,5,0.08,0,0.0,5
220,1,0,10,2,0,0,0.0,0,0.0,4
221,1,0,42,8,0,0,0.0,2,0.05,1
222,1,0,262,36,0,8,0.03,0,0.0,5
223,1,0,50,6,0,2,0.04,0,0.0,5
224,1,0,20,3,0,1,0.05,0,0.0,5
225,1,0,151,25,0,7,0.05,0,0.0,1
226,0,0,183,33,0,0,0.0,4,0.02,1
227,1,0,240,25,0,1,0.0,3,0.01,1
228,0,0,55,6,0,0,0.0,0,0.0,5
229,1,0,547,71,0,7,0.01,2,0.0,1
230,1,0,74,10,0,1,0.01,2,0.03,1
231,0,0,66,8,0,0,0.0,0,0.0,1
232,0,0,128,19,0,0,0.0,1,0.01,5
233,1,0,71,10,0,1,0.01,0,0.0,1
234,0,0,171,25,0,0,0.0,0,0.0,1
235,0,0,135,21,0,0,0.0,0,0.0,5
236,0,0,41,7,0,0,0.0,3,0.07,1
237,0,0,222,31,0,0,0.0,0,0.0,1
238,0,0,34,4,0,0,0.0,0,0.0,5
239,0,0,239,38,0,0,0.0,0,0.0,1
240,0,0,38,6,0,0,0.0,0,0.0,1
241,0,0,116,18,0,0,0.0,0,0.0,1
242,1,0,54,9,0,3,0.06,1,0.02,2
243,0,0,72,11,0,0,0.0,0,0.0,5
244,1,0,144,20,0,1,0.01,0,0.0,1
245,0,0,20,3,0,0,0.0,0,0.0,1
246,0,0,122,17,0,0,0.0,0,0.0,1
247,1,0,153,21,0,3,0.02,1,0.01,2
248,1,0,65,8,0,2,0.03,2,0.03,1
249,1,0,179,25,0,4,0.02,0,0.0,5
250,1,0,19,3,0,3,0.16,0,0.0,5
251,0,0,77,11,0,0,0.0,0,0.0,4
252,1,0,65,13,0,4,0.06,0,0.0,1
253,1,0,26,4,0,3,0.12,0,0.0,5
254,0,0,16,3,0,0,0.0,0,0.0,5
255,0,0,41,8,0,0,0.0,1,0.02,5
256,1,0,65,9,0,4,0.06,0,0.0,1
257,0,0,19,2,0,0,0.0,0,0.0,5
258,0,0,66,8,0,0,0.0,0,0.0,5
259,1,0,9,1,0,0,0.0,0,0.0,1
260,0,0,25,4,0,0,0.0,0,0.0,4
261,1,0,120,17,1,6,0.05,0,0.0,5
262,1,0,122,20,0,0,0.0,0,0.0,5
263,0,0,90,10,0,0,0.0,0,0.0,5
264,0,0,95,15,0,0,0.0,0,0.0,4
265,1,0,62,11,0,5,0.08,4,0.06,1
266,0,0,369,58,2,0,0.0,6,0.02,1
267,1,0,61,10,1,5,0.08,0,0.0,1
268,1,0,109,12,0,2,0.02,0,0.0,5
269,1,0,36,6,0,0,0.0,0,0.0,5
270,0,0,146,21,0,0,0.0,0,0.0,1
271,1,0,358,51,0,7,0.02,0,0.0,1
272,1,0,18,3,0,0,0.0,0,0.0,1
273,1,0,15,3,0,3,0.2,0,0.0,5
274,1,0,48,7,0,3,0.06,0,0.0,5
275,1,0,150,20,0,8,0.05,0,0.0,5
276,0,0,51,8,0,0,0.0,0,0.0,1
277,1,0,174,25,0,6,0.03,1,0.01,1
278,1,0,56,7,0,5,0.09,0,0.0,1
279,0,0,33,6,0,0,0.0,0,0.0,5
280,1,0,42,6,0,2,0.05,0,0.0,5
281,1,0,79,11,0,3,0.04,0,0.0,4
282,1,0,17,3,0,1,0.06,0,0.0,1
283,0,0,39,5,0,0,0.0,0,0.0,1
284,1,0,41,5,0,2,0.05,0,0.0,5
285,1,0,73,10,0,4,0.05,2,0.03,5
286,0,0,48,7,0,1,0.02,0,0.0,5
287,1,0,41,6,0,3,0.07,0,0.0,5
288,0,0,31,4,0,0,0.0,0,0.0,1
289,0,0,179,30,0,0,0.0,0,0.0,1
290,1,0,12,1,0,0,0.0,0,0.0,5
291,0,0,68,10,0,0,0.0,1,0.01,5
292,1,0,90,12,0,6,0.07,0,0.0,5
293,0,0,28,3,0,0,0.0,0,0.0,5
294,1,0,61,8,0,4,0.07,0,0.0,1
295,0,0,89,13,0,0,0.0,0,0.0,5
296,0,0,148,20,0,0,0.0,0,0.0,1
297,0,0,170,26,0,0,0.0,0,0.0,1
298,0,0,466,68,0,0,0.0,4,0.01,4
299,0,0,120,18,0,0,0.0,0,0.0,1
300,1,0,9,1,0,0,0.0,0,0.0,5
301,1,0,73,11,0,4,0.05,0,0.0,5
302,1,0,158,25,0,6,0.04,0,0.0,1
303,0,0,121,16,0,0,0.0,0,0.0,2
304,0,0,109,15,0,0,0.0,0,0.0,1
305,1,0,19,3,0,2,0.11,0,0.0,1
306,1,0,71,10,0,5,0.07,0,0.0,4
307,0,0,104,15,0,0,0.0,0,0.0,4
308,0,0,44,7,0,0,0.0,0,0.0,5
309,0,0,467,62,0,0,0.0,0,0.0,1
310,1,0,33,5,0,4,0.12,0,0.0,5
311,0,0,24,3,0,0,0.0,0,0.0,5
312,1,0,50,5,0,0,0.0,0,0.0,5
313,1,0,72,10,0,4,0.06,0,0.0,5
314,0,0,218,37,0,0,0.0,0,0.0,1
315,1,0,126,20,0,0,0.0,0,0.0,1
316,0,0,72,12,0,0,0.0,0,0.0,1
317,0,0,169,21,1,0,0.0,2,0.01,1
318,1,0,47,7,0,3,0.06,0,0.0,5
319,1,0,74,10,0,5,0.07,0,0.0,5
320,0,0,231,34,0,0,0.0,0,0.0,5
321,0,0,43,6,0,0,0.0,0,0.0,5
322,1,0,559,78,0,7,0.01,0,0.0,1
323,1,0,79,12,0,6,0.08,0,0.0,5
324,1,0,81,11,0,5,0.06,2,0.02,1
325,1,0,149,21,0,3,0.02,2,0.01,1
326,0,0,59,8,0,0,0.0,0,0.0,5
327,0,0,96,14,0,0,0.0,0,0.0,1
328,1,0,72,10,0,4,0.06,0,0.0,5
329,1,0,54,10,0,3,0.06,1,0.02,5
330,0,0,176,23,0,0,0.0,0,0.0,5
331,0,0,702,108,1,0,0.0,4,0.01,4
332,0,0,199,27,0,0,0.0,0,0.0,5
333,0,0,52,7,0,0,0.0,0,0.0,5
334,1,0,60,9,0,0,0.0,0,0.0,3
335,0,0,249,35,0,0,0.0,0,0.0,1
336,0,0,122,18,0,0,0.0,0,0.0,1
337,0,0,38,6,0,0,0.0,0,0.0,1
338,1,0,77,9,0,4,0.05,0,0.0,5
339,1,0,23,4,0,4,0.17,0,0.0,5
340,1,0,6,1,0,2,0.33,0,0.0,3
341,1,0,35,4,0,0,0.0,0,0.0,1
342,0,0,470,74,0,0,0.0,2,0.0,5
343,0,0,410,64,0,0,0.0,0,0.0,1
344,0,0,530,83,0,0,0.0,2,0.0,2
345,1,0,111,16,0,4,0.04,2,0.02,5
346,0,0,65,11,0,0,0.0,1,0.02,1
347,0,0,102,17,0,0,0.0,0,0.0,2
348,1,0,59,8,0,3,0.05,0,0.0,5
349,0,0,460,68,0,0,0.0,0,0.0,1
350,1,0,20,3,0,2,0.1,0,0.0,5
351,0,0,147,19,0,0,0.0,0,0.0,1
352,0,0,193,28,0,0,0.0,0,0.0,5
353,1,0,242,37,0,7,0.03,4,0.02,1
354,0,0,42,7,0,0,0.0,0,0.0,5
355,1,0,97,12,0,5,0.05,1,0.01,1
356,1,0,38,4,0,1,0.03,2,0.05,1
357,1,0,25,3,0,0,0.0,0,0.0,2
358,1,0,31,4,0,4,0.13,0,0.0,2
359,1,0,433,72,0,8,0.02,6,0.01,1
360,0,0,178,29,0,0,0.0,0,0.0,2
361,1,0,51,7,0,2,0.04,0,0.0,1
362,0,0,56,9,0,0,0.0,0,0.0,2
363,1,0,54,8,0,4,0.07,0,0.0,2
364,1,0,44,7,0,5,0.11,0,0.0,5
365,1,0,77,12,0,4,0.05,0,0.0,5
366,0,0,452,77,0,0,0.0,4,0.01,1
367,1,0,114,18,0,6,0.05,0,0.0,5
368,0,0,150,24,0,0,0.0,0,0.0,1
369,1,0,54,6,0,3,0.06,0,0.0,5
370,1,0,95,15,0,2,0.02,0,0.0,1
371,0,0,211,33,0,0,0.0,5,0.02,5
372,0,0,218,31,0,0,0.0,0,0.0,5
373,0,0,43,7,0,0,0.0,2,0.05,3
374,0,0,137,20,0,0,0.0,2,0.01,2
375,1,0,11,2,0,0,0.0,0,0.0,1
376,1,0,271,39,0,6,0.02,2,0.01,1
377,0,0,37,5,0,0,0.0,0,0.0,5
378,0,0,31,4,0,0,0.0,0,0.0,5
379,1,0,40,6,0,3,0.08,0,0.0,5
380,0,0,34,4,0,0,0.0,0,0.0,1
381,1,0,14,2,0,0,0.0,0,0.0,1
382,0,0,107,15,0,0,0.0,0,0.0,4
383,0,0,206,32,0,0,0.0,0,0.0,1
384,1,0,31,5,0,4,0.13,0,0.0,5
385,1,0,42,5,0,0,0.0,0,0.0,1
386,0,0,177,27,0,0,0.0,2,0.01,5
387,0,0,53,8,0,0,0.0,0,0.0,1
388,1,0,87,11,0,0,0.0,0,0.0,1
389,0,0,82,13,0,0,0.0,0,0.0,5
390,0,0,12,2,0,0,0.0,0,0.0,1
391,0,0,65,12,0,0,0.0,0,0.0,4
392,0,0,282,42,1,0,0.0,0,0.0,1
393,1,0,19,3,0,0,0.0,0,0.0,5
394,0,0,115,15,0,0,0.0,1,0.01,5
395,0,0,33,4,0,0,0.0,0,0.0,5
396,1,0,55,7,0,6,0.11,0,0.0,5
397,1,0,30,4,0,3,0.1,0,0.0,4
398,1,0,38,5,0,2,0.05,0,0.0,1
399,1,0,119,15,0,6,0.05,0,0.0,5
400,0,0,14,2,0,0,0.0,0,0.0,1
401,0,0,38,5,0,0,0.0,0,0.0,5
402,0,0,174,27,0,0,0.0,0,0.0,1
403,1,0,17,3,0,2,0.12,0,0.0,5
404,0,0,68,12,0,0,0.0,0,0.0,1
405,1,0,54,6,0,2,0.04,0,0.0,1
406,0,0,22,2,0,0,0.0,0,0.0,5
407,0,0,62,9,0,0,0.0,0,0.0,5
408,1,0,22,3,0,2,0.09,0,0.0,5
409,1,0,44,6,0,0,0.0,0,0.0,1
410,0,0,72,10,0,0,0.0,0,0.0,3
411,0,0,146,15,0,0,0.0,2,0.01,5
412,0,0,166,23,0,0,0.0,0,0.0,1
413,0,0,150,23,0,0,0.0,0,0.0,1
414,0,0,122,19,0,0,0.0,0,0.0,1
415,0,0,29,4,0,0,0.0,0,0.0,5
416,1,0,95,14,0,3,0.03,0,0.0,5
417,1,0,27,3,0,5,0.19,0,0.0,5
418,1,0,175,29,0,3,0.02,3,0.02,5
419,0,0,165,23,0,0,0.0,0,0.0,5
420,0,0,29,5,0,0,0.0,0,0.0,5
421,0,0,24,3,0,0,0.0,0,0.0,5
422,1,0,86,12,0,0,0.0,0,0.0,1
423,1,0,32,4,0,3,0.09,0,0.0,5
424,1,0,188,29,0,6,0.03,3,0.02,1
425,0,0,278,43,0,0,0.0,0,0.0,1
426,0,0,138,23,0,0,0.0,3,0.02,1
427,1,0,212,31,0,3,0.01,0,0.0,1
428,0,0,311,45,0,0,0.0,1,0.0,1
429,1,0,228,29,0,9,0.04,2,0.01,5
430,1,0,81,10,0,3,0.04,0,0.0,5
431,1,0,121,20,0,0,0.0,0,0.0,5
432,0,0,19,3,0,0,0.0,0,0.0,5
433,1,0,50,6,0,2,0.04,0,0.0,1
434,1,0,40,6,0,4,0.1,0,0.0,3
435,1,0,36,6,0,4,0.11,0,0.0,5
436,1,0,140,20,0,7,0.05,2,0.01,3
437,0,0,85,13,0,0,0.0,2,0.02,1
438,1,0,440,48,0,1,0.0,2,0.0,2
439,0,0,69,12,0,0,0.0,0,0.0,5
440,1,0,267,33,0,6,0.02,0,0.0,1
441,0,0,103,17,0,0,0.0,0,0.0,4
442,0,0,34,4,0,0,0.0,0,0.0,5
443,0,0,243,36,0,0,0.0,0,0.0,1
444,1,0,132,19,0,6,0.05,2,0.02,1
445,0,0,91,13,0,0,0.0,0,0.0,1
446,1,0,75,12,0,3,0.04,1,0.01,4
447,1,0,37,4,0,1,0.03,0,0.0,4
448,0,0,37,6,0,0,0.0,0,0.0,5
449,1,0,71,10,0,5,0.07,0,0.0,5
450,0,0,28,4,0,0,0.0,0,0.0,1
451,1,0,52,8,0,4,0.08,0,0.0,5
452,0,0,324,53,1,0,0.0,0,0.0,1
453,0,0,42,5,0,0,0.0,0,0.0,5
454,0,0,35,4,0,0,0.0,0,0.0,5
455,1,0,35,5,0,1,0.03,0,0.0,1
456,0,0,355,52,1,0,0.0,0,0.0,1
457,1,0,327,51,0,7,0.02,1,0.0,1
458,1,0,125,17,0,5,0.04,0,0.0,1
459,1,0,36,5,0,2,0.06,0,0.0,5
460,1,0,21,3,0,4,0.19,0,0.0,5
461,1,0,43,6,0,5,0.12,0,0.0,5
462,1,0,73,11,0,1,0.01,0,0.0,1
463,0,0,51,8,0,0,0.0,0,0.0,5
464,1,0,30,5,0,1,0.03,0,0.0,5
465,0,0,92,13,0,0,0.0,0,0.0,5
466,0,0,183,25,0,0,0.0,0,0.0,5
467,1,0,41,7,0,2,0.05,0,0.0,1
468,1,0,93,12,0,5,0.05,0,0.0,3
469,0,0,14,2,0,0,0.0,0,0.0,5
470,1,0,61,10,0,2,0.03,0,0.0,1
471,0,0,657,103,0,0,0.0,2,0.0,3
472,1,0,29,5,0,2,0.07,0,0.0,5
473,1,0,45,6,0,5,0.11,0,0.0,1
474,1,0,57,9,0,4,0.07,0,0.0,5
475,0,0,80,11,0,0,0.0,0,0.0,5
476,1,0,42,5,0,3,0.07,0,0.0,5
477,1,0,142,18,0,1,0.01,2,0.01,1
478,1,0,207,27,0,5,0.02,3,0.01,4
479,1,0,11,1,0,0,0.0,0,0.0,5
480,1,0,31,4,0,0,0.0,0,0.0,1
481,0,0,119,19,1,0,0.0,0,0.0,4
482,0,0,84,9,0,0,0.0,0,0.0,5
483,0,0,223,32,0,0,0.0,0,0.0,1
484,0,0,71,10,0,0,0.0,2,0.03,5
485,0,0,43,6,0,0,0.0,0,0.0,5
486,1,0,45,7,0,0,0.0,3,0.07,2
487,1,0,273,43,0,7,0.03,0,0.0,1
488,1,0,19,3,0,0,0.0,0,0.0,5
489,0,0,121,20,0,0,0.0,2,0.02,3
490,0,0,297,46,2,0,0.0,0,0.0,4
491,1,0,310,39,0,8,0.03,0,0.0,1
492,0,0,86,13,0,0,0.0,0,0.0,5
493,1,0,36,5,0,1,0.03,0,0.0,5
494,1,0,13,2,0,0,0.0,0,0.0,2
495,0,0,157,22,0,0,0.0,0,0.0,5
496,1,0,134,17,0,6,0.04,0,0.0,4
497,1,0,186,26,0,6,0.03,1,0.01,5
498,0,0,277,38,1,0,0.0,1,0.0,5
499,0,0,187,29,0,0,0.0,0,0.0,5
500,1,0,61,9,0,4,0.07,1,0.02,5
501,0,0,34,5,0,0,0.0,0,0.0,5
502,0,0,147,18,0,0,0.0,0,0.0,1
503,1,0,98,14,0,3,0.03,0,0.0,1
504,1,0,130,18,0,3,0.02,2,0.02,1
505,1,0,73,10,0,3,0.04,0,0.0,4
506,1,0,191,29,0,7,0.04,0,0.0,5
507,0,0,232,34,0,0,0.0,0,0.0,5
508,1,0,325,41,0,8,0.02,0,0.0,5
509,0,0,161,23,1,0,0.0,0,0.0,1
510,0,0,77,11,0,0,0.0,0,0.0,1
511,0,0,43,6,0,0,0.0,0,0.0,5
512,1,0,32,4,0,4,0.12,0,0.0,2
513,0,0,32,4,0,0,0.0,0,0.0,5
514,1,0,55,6,0,5,0.09,0,0.0,3
515,1,0,50,7,0,3,0.06,0,0.0,4
516,0,0,43,5,0,0,0.0,0,0.0,5
517,1,0,20,3,0,0,0.0,0,0.0,5
518,1,0,57,9,0,4,0.07,0,0.0,1
519,0,0,139,22,0,0,0.0,0,0.0,1
520,0,0,40,5,0,0,0.0,0,0.0,5
521,1,0,136,21,0,0,0.0,0,0.0,1
522,1,0,273,37,0,8,0.03,2,0.01,1
523,1,0,55,8,0,0,0.0,0,0.0,1
524,0,0,200,28,0,0,0.0,0,0.0,1
525,0,0,82,10,0,0,0.0,0,0.0,4
526,1,0,13,1,0,0,0.0,0,0.0,2
527,0,0,54,7,0,0,0.0,0,0.0,1
528,0,0,24,3,0,0,0.0,0,0.0,5
529,0,0,81,11,0,0,0.0,0,0.0,5
530,0,0,71,12,0,0,0.0,0,0.0,1
531,0,0,97,14,0,0,0.0,2,0.02,5
532,1,0,152,21,0,8,0.05,1,0.01,5
533,0,0,108,14,0,0,0.0,2,0.02,5
534,1,0,101,16,0,5,0.05,4,0.04,1
535,1,0,85,11,0,7,0.08,0,0.0,5
